2024-06-24T10:00:01.001Z INFO  Starting MyApp version 1.2.3
2024-06-24T10:00:56.602Z INFO  Retrying analytics request...
2024-06-24T10:00:56.703Z INFO  Analytics data fetched successfully
2024-06-24T10:01:00.008Z INFO  GET /metrics 200 - Prometheus/2.33.1 - 3ms
2024-06-24T10:01:05.001Z INFO  Scheduled job started: clean_old_sessions
2024-06-24T10:01:05.105Z INFO  Job completed: 43 expired sessions deleted
2024-06-24T10:01:07.801Z INFO  GET /api/comments 200 - Mozilla/5.0 - 7ms
2024-06-24T10:01:09.902Z INFO  GET / 200 - Mozilla/5.0 - 4ms
2024-06-24T10:01:10.110Z INFO  POST /api/feedback 201 - Mozilla/5.0 - 6ms
2024-06-24T10:01:10.112Z INFO  Feedback recorded from user user42
2024-06-24T10:01:13.003Z INFO  GET /api/users 200 - Mozilla/5.0 - 10ms
2024-06-24T10:01:15.605Z WARN  Memory usage high: 87%
2024-06-24T10:01:15.606Z INFO  Initiating garbage collection
2024-06-24T10:01:15.709Z INFO  Memory usage after GC: 65%
2024-06-24T10:01:20.211Z INFO  GET /api/posts 200 - Mozilla/5.0 - 12ms
2024-06-24T10:01:22.309Z INFO  GET /metrics 200 - Prometheus/2.33.1 - 2ms
2024-06-24T10:01:24.401Z INFO  GET /api/posts/321 200 - Mozilla/5.0 - 8ms
2024-06-24T10:01:25.507Z INFO  GET /api/dashboard 200 - Mozilla/5.0 - 14ms
2024-06-24T10:01:28.001Z INFO  Health check ping received
2024-06-24T10:01:30.104Z INFO  POST /api/upload 201 - Mozilla/5.0 - 20ms
2024-06-24T10:01:30.106Z INFO  File uploaded: report.csv
2024-06-24T10:01:33.204Z WARN  API response slow: /api/export - 156ms
2024-06-24T10:01:36.309Z INFO  GET /api/export 200 - Mozilla/5.0 - 158ms
2024-06-24T10:01:38.410Z INFO  GET / 200 - Mozilla/5.0 - 3ms
2024-06-24T10:01:40.511Z INFO  POST /api/logout 204 - Mozilla/5.0 - 5ms
2024-06-24T10:01:42.611Z INFO  GET /healthz 200 - kube-probe - 1ms
2024-06-24T10:01:45.712Z INFO  Scheduled job started: aggregate_metrics
2024-06-24T10:01:46.018Z INFO  Metrics aggregation complete
2024-06-24T10:01:48.120Z INFO  GET /metrics 200 - Prometheus/2.33.1 - 2ms
2024-06-24T10:01:50.223Z INFO  GET /api/users 200 - Mozilla/5.0 - 9ms
2024-06-24T10:01:51.804Z INFO  POST /api/login 200 - Mozilla/5.0 - 13ms
2024-06-24T10:01:53.410Z INFO  Authenticated user: user77
2024-06-24T10:01:56.600Z INFO  GET /api/comments 200 - Mozilla/5.0 - 7ms
2024-06-24T10:01:57.800Z INFO  GET /api/comments/654 200 - Mozilla/5.0 - 4ms
2024-06-24T10:02:00.001Z INFO  GET /api/posts 200 - Mozilla/5.0 - 11ms
2024-06-24T10:02:02.103Z WARN  API timeout: /api/reports
2024-06-24T10:02:02.104Z ERROR Failed to fetch /api/reports - retrying...
2024-06-24T10:02:02.208Z INFO  GET /api/reports 200 - Mozilla/5.0 - 200ms
2024-06-24T10:02:05.001Z INFO  Scheduled job started: flush_logs
2024-06-24T10:02:05.099Z INFO  240 log lines flushed to /var/log/myapp/app.log
2024-06-24T10:02:06.200Z INFO  Graceful shutdown initiated
2024-06-24T10:02:06.205Z INFO  Closing HTTP server
2024-06-24T10:02:06.208Z INFO  Disconnecting from database
2024-06-24T10:02:06.215Z INFO  Cleanup complete, exiting
